word,gender_score
caricature,0.707547
carmelite,-0.387077
carolina,0.128663
carpets,-0.208333
carrier,-0.45304
cars,-0.9093
cartoon,-0.397506
cartoons,-0.351535
case,-0.117836
cases,0.263479
cash,-0.935768
cashier,-0.468421
casino,-0.002663
casinos,-0.743571
cast,0.527081
casting,0.809387
cat,-0.425948
catalyst,0.424419
catastrophe,-0.012048
catch,0.337963
category,0.024859
caterpillar,0.944934
catholic,0.152305
cats,-0.402349
cause,0.46838
cave,0.473517
cd,-0.12491
cds,0.572505
celeb,-0.294611
celeberties,0.232787
celebrities,-0.727598
celebrity,-0.699662
celebs,-0.717353
cell,0.617776
cellist,0.093596
cells,0.347137
center,0.145189
centre,0.629078
century,0.398407
ceo,0.818003
cf,0.109756
cgi,-0.53071
chair,0.490393
chairman,0.848945
chairperson,0.509399
chalk,0.241199
challenge,-0.988253
chamber,0.78444
chambers,0.010638
champion,0.69741
championship,-0.035623
chancellor,0.55341
change,0.321423
changes,0.627015
chaos,0.354146
chapter,-0.936523
chapters,-0.083021
character,0.355711
characters,-0.243335
charge,-0.202131
charges,0.866667
charleston,0.597765
charms,-0.248096
chastity,-0.733191
chat,0.202394
chatroom,0.537055
chats,-0.508479
cheat,0.593915
cheater,0.787482
cheating,-0.899007
cheats,0.393649
chechen,-0.537748
check,-0.231696
cheerleader,-0.835661
cheerleaders,-0.839806
cheers,0.920868
chef,0.944648
chelsea,0.157596
chemical,0.946883
chemist,0.817335
chemistry,0.127273
cherokee,-0.410189
chess,0.602577
chest,-0.583881
chicago,0.21091
chicano,0.464135
chick,-0.929209
chicken,0.871486
chicks,0.053535
chief,0.65006
chiefs,-0.161826
chihuahua,0.330798
child,-0.152145
childhood,0.286676
children,-0.344344
childs,0.32752
china,-0.80092
chocolate,-0.709379
choice,0.324613
choices,-0.54491
choir,0.923131
chorus,-0.897692
christian,-0.69484
christmas,-0.151231
chromosomes,-0.112554
chump,0.314286
church,-0.217827
cia,0.836993
cigar,0.315581
cigarette,-0.239364
cigarettes,-0.58377
cigars,-0.152643
cinema,0.443519
circle,0.461294
circuitry,0.58952
circus,0.041164
cities,-0.112384
citizen,0.484882
city,0.120923
civilian,0.913786
clash,0.213155
class,-0.186852
classes,0.746912
classics,-0.513793
classmate,0.493258
cleaner,-0.233333
cleavage,-0.954613
clergyman,0.967546
clerk,0.805349
client,-0.388289
clientele,-0.719481
clients,-0.839484
climate,0.355463
climax,-0.734185
climb,0.489438
climbing,0.312794
clip,0.259832
clips,-0.701989
clone,0.641377
close,-0.877202
cloth,0.483051
clothes,-0.264683
clothing,-0.347052
clown,0.941686
club,-0.076443
clubbondage,-0.350365
clubs,-0.527216
cnn,-0.496423
co,0.39586
co.,0.223332
coach,0.603338
coaches,0.425
coast,-0.066273
coauthor,0.748474
cock,0.433938
cocks,-0.152974
cocksuckers,-0.491115
cocktail,-0.453131
code,0.843885
codes,0.688564
coed,-0.976692
coeditor,0.155963
coffin,-0.390604
cofounder,0.765138
cohf,-0.510763
cola,-0.217647
cold,0.49758
collaborator,0.811268
collage,-0.931651
collar,0.501547
colleague,0.546309
collection,0.543417
collections,-0.089385
collector,0.745906
college,-0.270873
colleges,0.635179
collie,-0.590759
cologne,0.840798
color,0.936983
colorado,0.07746
colors,-0.232143
colour,-0.260274
columbia,0.844885
columnist,0.361776
com,-0.718267
coma,0.097046
combat,0.891172
combination,0.543825
comeback,-0.08971
comedian,0.929477
comedy,0.462842
comfort,-0.810122
comforter,-0.002305
comic,0.464763
comics,-0.43201
command,0.989311
commander,0.821797
commands,0.918726
comment,-0.55902
commentary,0.911523
commentator,0.7154
commission,0.792701
commissioner,-0.097409
commitment,0.414634
committee,0.746148
commoner,0.144424
communicant,-0.098592
communication,0.798274
communist,0.809524
communities,0.871432
community,0.609781
companies,-0.777242
companion,-0.594301
company,-0.347261
compatibility,0.279592
competition,0.021452
competitions,0.914993
competitor,0.856246
complex,-0.542099
complexion,0.010417
composer,0.289105
composers,-0.987179
composite,0.762768
computer,0.971131
comrade,0.568807
con,0.965979
concern,-0.799208
concert,0.168831
condition,-0.819533
conductor,0.888971
conduit,0.569061
conferences,0.824713
confidant,0.615
confidence,0.912
confusion,0.832558
congregation,0.51087
connecticut,0.638353
connections,0.89762
connoisseur,0.624138
conscience,-0.279552
consequence,0.333333
conservative,0.603062
consort,-0.527258
consorts,-0.776776
constellations,0.179856
consul,0.366589
consultant,0.55966
consumer,-0.141643
consumers,-0.657127
consummate,-0.383706
contact,0.666804
contacts,0.218911
contemporary,0.798387
contender,0.645029
content,0.438588
contest,-0.430293
contestant,-0.092334
contests,0.817957
continent,-0.814709
contract,0.928524
contractor,0.76568
contributor,0.352242
control,0.145289
controllers,0.980335
convenience,-0.083333
convention,0.80597
conversation,-0.511364
convert,0.624776
cook,-0.40968
cookbook,0.538961
coordinator,0.398496
cop,-0.104681
copper,-0.5
copy,0.113951
core,-0.68306
corn,-0.67406
corner,-0.850072
cornerstone,0.561151
corporation,0.935659
corpse,-0.992815
correspondence,-0.763593
correspondent,0.422127
corrie,-0.140065
cosmetics,0.301536
costume,-0.470471
costumes,-0.958648
couch,0.801779
council,0.859351
counsel,0.518371
counsellor,0.229584
counselor,0.133987
counsels,-0.923759
count,-0.207887
counter,-0.378931
counterparts,-0.360704
countries,0.934263
country,0.689153
county,0.418744
couple,-0.441545
couples,-0.286159
courier,0.550432
course,0.950769
courses,-0.299291
court,-0.23941
cousin,-0.149852
coventry,0.056604
cover,-0.61637
coverlet,-0.280932
cow,-0.694556
coward,0.882917
cowards,0.356589
cowboy,-0.445746
cowgirl,0.151899
coyote,0.484536
cpa,0.717861
cpls,0.398119
cpu,0.861004
cr,-0.281853
crab,0.969293
crack,-0.374015
crackhead,-0.084416
craft,-0.857138
cramps,-0.762484
craps,0.037509
crash,0.055244
cream,0.245583
creampie,-0.952685
creampies,-0.944136
creation,0.533312
creator,0.833784
creators,-0.104167
creature,0.532849
creatures,-0.020633
credentials,0.793258
credit,0.86466
creditor,0.169492
creek,-0.333333
crew,0.774212
cricket,0.105132
